position,title,year,duration,rating_value,rating_count,critic_rating_value,critic_count,directors,screenwriters,production_countries,world_premiere,polish_premiere,boxoffice,boxoffice_usa,boxoffice_outside_usa,budget,genres
1,The Shawshank Redemption,1994,2h 22m,"8,8",955674,"8,2",91,['Frank Darabont'],['Frank Darabont'],['USA'],10.09.1994,16.04.1995,$28 884 504 ,$28 767 189 ,$117 315 ,$25 000 000,['Dramat']
2,The Green Mile,1999,3h 8m,"8,6",1030633,"7,2",73,['Frank Darabont'],['Frank Darabont'],['USA'],06.12.1999,24.03.2000,$286 801 374 ,$136 801 374 ,$150 000 000 ,$60 000 000,['Dramat']
3,Intouchables,2011,1h 52m,"8,6",703261,"7,1",86,"['Olivier Nakache', 'Éric Toledano']","['Olivier Nakache', 'Éric Toledano']",['Francja'],23.09.2011,13.04.2012,$426 588 510 ,$10 198 820 ,$416 389 690 ,$10 800 000,"['Biograficzny', 'Dramat', 'Komedia']"
4,The Godfather,1972,2h 55m,"8,6",566582,"9,1",87,['Francis Ford Coppola'],"['Mario Puzo', 'Francis Ford Coppola']",['USA'],14.03.1972,31.12.1972,$250 341 816 ,$136 381 073 ,$113 960 743 ,$6 000 000,"['Dramat', 'Gangsterski']"
5,12 Angry Men,1957,1h 36m,"8,7",236509,"8,9",86,['Sidney Lumet'],['Reginald Rose'],['USA'],10.04.1957,listopada 1959,$337 000,,,,['Dramat sądowy']
6,Forrest Gump,1994,2h 22m,"8,5",1020860,"8,0",91,['Robert Zemeckis'],['Eric Roth'],['USA'],23.06.1994,04.11.1994,$678 226 465 ,$330 455 270 ,$347 771 195 ,$55 000 000,"['Dramat', 'Komedia']"
7,One Flew Over the Cuckoo's Nest,1975,2h 13m,"8,5",424981,"8,5",91,['Miloš Forman'],"['Bo Goldman', 'Lawrence Hauben']",['USA'],listopada 1975,31.12.1975,$109 114 817 ,$108 981 275 ,$133 542 ,$3 000 000,"['Dramat', 'Psychologiczny']"
8,The Godfather: Part II,1974,3h 20m,"8,5",288513,"9,0",65,['Francis Ford Coppola'],"['Mario Puzo', 'Francis Ford Coppola']",['USA'],12.12.1974,,$193 000 000 ,$47 834 595 ,$145 165 405 ,$13 000 000,"['Dramat', 'Gangsterski']"
9,The Lord of the Rings: The Return of the King,2003,3h 21m,"8,4",547925,"8,0",75,['Peter Jackson'],"['Fran Walsh', 'Peter Jackson']","['Nowa Zelandia', 'USA']",01.12.2003,01.01.2004,$1 151 301 082 ,$381 722 353 ,$769 578 729 ,$94 000 000,"['Fantasy', 'Przygodowy']"
10,Schindler's List,1993,3h 15m,"8,4",373810,"7,9",64,['Steven Spielberg'],['Steven Zaillian'],['USA'],30.11.1993,31.12.1993,$322 161 245 ,$96 898 818 ,$225 262 427 ,$22 000 000,"['Dramat', 'Wojenny']"
11,Pulp Fiction,1994,2h 34m,"8,3",700212,"9,2",95,['Quentin Tarantino'],['Quentin Tarantino'],['USA'],21.05.1994,19.05.1995,$213 928 762 ,$107 928 762 ,$106 000 000 ,$8 000 000,['Gangsterski']
